Name,Temperature,Carbon,Water,Rhodium,Iron,Atmosphere Color,Moons,Habitable
HD 9827b,318521,High,Low,High,Low,,7,1
Gliese 6797u,323488,Low,Medium,Low,Low,Yellow,8,1
WASP-5812f,319279,Low,Low,Low,Low,Yellow,0,1
HD 1310e,315375,Low,Low,Low,Low,Yellow,6,1
HR 3976s,302312,Low,Medium,Medium,High,Yellow,7,1
K2-958x,329687,Low,Low,Medium,Low,Yellow,1,1
HR 2195b,265746,Low,High,Low,Medium,Red,3,0
Ross 5664m,305214,Low,High,Low,Low,Yellow,5,1
HR 3316t,299936,Medium,High,Low,High,Yellow,6,0
KELT-7399p,269577,Low,Medium,Low,Low,Red,4,1
HD 3285j,303631,High,High,Medium,High,Red,5,0
HD 6423t,290051,High,High,High,High,Red,8,0
K2-9004k,306122,Low,Low,Low,Low,Yellow,4,1
LHS 7890e,300635,Medium,Low,Low,Low,Yellow,7,1
Gliese 1662e,312152,High,High,High,High,Blue,2,0
HR 9195o,265942,Medium,Medium,High,High,Blue,5,0
Gliese 1896u,307368,High,High,High,High,Red,3,0
Ross 6397p,276274,High,Medium,Low,Low,Yellow,3,1
LHS 7157t,308531,Low,Medium,Low,Low,Yellow,6,1
HD 5728o,329561,High,Low,High,High,Yellow,1,1
Gliese 27b,327860,Low,Medium,Low,High,Yellow,7,1
KELT-7003t,326420,Low,High,High,Low,Blue,4,1
KELT-1975q,336328,Low,Low,Low,Low,Yellow,4,1
Ross 685m,272636,Low,High,Low,High,Yellow,5,1
Gliese 5648r,274877,Low,Low,High,High,Yellow,1,0
KELT-6109z,310433,Medium,Medium,Medium,Low,Yellow,4,1
HD 2965k,312697,High,High,High,Medium,Yellow,3,0
TRAPPIST-9835p,323490,High,Low,Medium,Low,Yellow,4,1
HD 765t,312176,Low,High,High,High,Blue,0,0
HR 4444v,281108,High,Low,High,High,Red,1,0
WASP-2964q,313236,High,High,Low,Medium,Red,2,0
LHS 5851s,321200,High,High,High,Medium,Red,0,0
HD 2602p,299039,High,Medium,High,High,Red,4,0
Kepler-6022p,306017,High,Low,High,Medium,Blue,4,0
HD 1158y,280389,High,High,High,High,Red,3,0
Kepler-787g,336538,Low,Low,Low,Medium,Yellow,1,1
Kepler-9603u,304726,Low,High,Medium,High,Red,2,0
Ross 7059z,336041,Low,Medium,High,Low,Yellow,8,1
LHS 6864g,322040,Medium,Medium,Medium,Low,Yellow,7,1
TRAPPIST-1690h,326665,Low,Medium,High,Medium,,2,1
TRAPPIST-3973c,312260,Medium,Low,Low,High,Yellow,4,1
LHS 6331q,316476,Low,Medium,Medium,Low,Yellow,6,1
LHS 1689h,315553,Low,Low,Low,Medium,Yellow,7,1
Kepler-2392w,306219,Low,High,High,Medium,Red,1,0
KELT-7897n,288870,Low,High,High,High,Red,0,0
KELT-6933g,315818,High,High,High,Medium,Blue,6,0
LHS 206a,310769,Medium,High,High,High,Blue,4,0
WASP-8848t,336048,Low,Low,Low,Low,Yellow,6,1
LHS 4832e,297296,Medium,High,Low,Low,Blue,6,0
K2-7980f,282329,Low,High,High,High,Red,5,0
Ross 4782b,309819,Medium,Medium,Medium,Medium,Red,6,0
K2-4642g,318772,Medium,Low,Low,Low,Blue,4,1
Kepler-8173d,287238,Low,Medium,Low,Low,Yellow,8,1
TRAPPIST-5654y,322695,Low,Low,Low,Low,Yellow,1,1
Kepler-6871s,324166,Medium,Low,Low,Medium,Yellow,5,1
Gliese 9355e,309980,Low,Low,High,Low,Red,7,1
K2-1654d,327613,Low,Low,Low,Low,Yellow,8,1
HR 9237c,325493,High,Medium,High,Medium,Yellow,6,1
TRAPPIST-1583l,296632,High,Medium,High,High,Red,8,0
WASP-9167n,335180,Low,High,Low,High,,8,1
TRAPPIST-703k,307545,Low,Low,Low,Low,Yellow,4,1
HR 7999w,315838,Low,Low,Medium,Low,Red,5,1
Gliese 7318p,279084,Medium,High,High,Medium,Yellow,2,0
K2-1762c,314481,Medium,Low,Low,Medium,Yellow,7,1
HR 758z,312428,High,High,High,High,Blue,4,0
KELT-8324q,339491,Low,Low,Low,Medium,Yellow,4,1
LHS 4523c,300092,High,High,Medium,Medium,Red,7,0
HD 3133u,293544,Low,High,High,Medium,Red,6,0
HR 6787a,291480,High,Medium,High,High,Blue,2,0
KELT-7398z,297677,High,High,High,High,Red,7,0
LHS 3162g,277207,Low,Low,Medium,High,Yellow,5,1
Ross 5995g,271693,High,Medium,High,High,Blue,6,0
KELT-2862j,288526,Low,High,High,High,Red,3,0
HD 7820h,303280,Medium,Low,Low,Low,Red,5,1
Gliese 9629a,303503,Low,Low,Low,High,Yellow,6,1
Ross 8815w,304264,Low,High,Low,Low,Red,4,1
Kepler-2030s,304114,High,High,High,Low,Blue,1,0
Gliese 37h,306806,Low,Low,Low,High,Red,7,1
