Weight,Front Claws,Pupillary Distance,Hair Color,Ear Shape,Length
399,9,12,Dark Brown,Rounded,9.6
210,9.6,10.7,Black,Broad,5.2
488,1.4,15.1,Blond,Broad,5
451,5.4,12.3,Black,Broad,8.9
372,3.5,9,White,Pointed,7.9
488,2.6,9.7,White,Pointed,10.6
273,7.9,16.3,,Broad,9.4
227,4.6,12.7,White,Broad,9.5
321,5,9.2,White,Broad,9.9
392,3.8,15.7,Black,Rounded,9.2
278,5.5,11.5,Blond,Broad,6.1
380,5.4,9.7,Dark Brown,Rounded,9.6
227,7.3,15,Light Brown,Rounded,9.1
375,5.1,12.1,Dark Brown,Rounded,11.4
297,6.4,11.8,Dark Brown,Rounded,7.3
343,4.1,11.6,Cinnamon,Pointed,9.5
458,7.5,13.9,Black,Broad,10.3
350,5.3,12.2,Black,Broad,9.8
281,4,10.6,Blond,Broad,9.1
424,7.1,8.5,Cinnamon,Rounded,9.8
212,3.2,11.9,Dark Brown,Pointed,10
232,7.6,14.8,Dark Brown,Broad,11.2
344,3.6,13.7,Cinnamon,Broad,10
319,1.6,12.8,Cinnamon,Broad,10.1
342,4.5,7.8,Black,Broad,9.8
462,2.4,14.6,White,Pointed,10.4
389,4.2,16.3,,Rounded,8
292,2.6,7,Black,Broad,9.1
495,3.8,9.3,White,Rounded,11
412,2.3,10,Cinnamon,Pointed,9.8
500,4.1,7.3,Cinnamon,Rounded,10
354,7.1,13.7,Blond,Rounded,10.4
279,6,12.3,Dark Brown,Rounded,6.8
279,6.2,11.9,,Rounded,7.5
457,4.4,7,Black,Pointed,5.1
208,4.7,12.8,White,Pointed,7.1
450,7.9,16.3,Cinnamon,Pointed,10.6
332,,10.2,,Rounded,9.2
450,5.9,7.3,White,Broad,7.8
225,6.1,14.8,Blond,Broad,9.1
220,8.7,15.4,Blond,Broad,5.7
385,9,8.2,Black,Broad,11.3
325,9.4,10.5,Dark Brown,Broad,9.4
334,3.3,12.1,Blond,Broad,10
483,4.3,11.6,Dark Brown,Broad,9.4
364,5.4,11.9,Blond,Broad,9.7
322,5,7.2,Cinnamon,Broad,11
368,2.3,15.3,Light Brown,Broad,6.2
275,1.6,12,Cinnamon,Pointed,5.3
232,4,17.2,Light Brown,Rounded,7.1
490,3,15.4,Dark Brown,Broad,11
215,9.3,11.7,White,Rounded,9.6
490,3.6,7.9,Cinnamon,Broad,9.1
461,3.8,16.9,Black,Broad,8.6
370,9.9,7.8,Cinnamon,Pointed,11.1
265,5.5,9,Blond,Pointed,7.3
290,3.6,12.6,Cinnamon,Pointed,8.8
441,7.5,11.4,Dark Brown,Rounded,6
200,5.9,11,Black,Pointed,8.1
350,6.5,11.5,Dark Brown,Rounded,5.3
473,2.2,14.8,White,Pointed,9.8
335,6.5,17.2,,Pointed,7.4
272,4.5,14.8,Light Brown,Broad,7.6
365,5.4,9.4,Cinnamon,Broad,7.3
345,,12,Blond,Broad,5.4
209,6.4,12.6,Dark Brown,Rounded,11.1
448,7.1,12.1,Cinnamon,Pointed,10.9
456,1,16.2,Blond,Broad,9.5
386,4.7,16.6,Blond,Rounded,9.3
289,4.9,14.5,Blond,Broad,5.7
366,8.6,15.3,Light Brown,Rounded,5.3
311,2.3,12.9,Black,Pointed,10.3
408,1.2,10,Black,Broad,9.2
329,5.2,12.8,White,Pointed,5.7
370,7.1,17.1,,Rounded,9.4
346,4.6,12.9,Black,Broad,9.9
313,3.6,12.3,Black,Pointed,8.7
469,5.1,16.9,Dark Brown,Pointed,10.4
451,2.4,7.3,White,Pointed,11.6
320,5.2,17.3,White,Pointed,10.2
389,1.1,10.5,Cinnamon,Broad,11.9
228,6.8,10.2,White,Rounded,6.6
312,5.1,13,Black,Pointed,11.6
319,2.5,9.1,Dark Brown,Rounded,11
475,5,12.7,Dark Brown,Broad,7.5
240,9.5,17.6,Blond,Rounded,5.1
284,8.6,15.8,Light Brown,Rounded,7.2
464,9.3,11.3,White,Rounded,6.4
325,1.7,9.4,White,Broad,10
342,9.9,8.3,White,Broad,11.1
403,3.3,8.5,Cinnamon,Broad,8.2
460,2.2,15.2,Dark Brown,Broad,7.9
375,6,11.6,Dark Brown,Broad,9.9
359,2.3,12.7,White,Broad,9.8
396,5.7,9.1,White,Broad,7
216,4.8,16,Blond,Broad,6.4
285,6.1,15.4,Dark Brown,Broad,5.8
